Galaxy,Rad_kpc,Vobs,errV,Vgas,Vdisk,Vbulge,Rad_meters,V_baryonic_sq,V_baryonic,Accel,Exponent,Nu,V_calculated
UGC05716,12.37,74.7,2.09,27.83,14.6,0.0,3.8173819999999997e+20,872.5624999999999,29.53916891180251,2.285761550717219e-12,0.11187036749843338,9.448238213944622,90.79745787495953
UGCA442,0.42,14.2,1.91,4.87,4.78,0.0,1.29612e+19,34.227164,5.850398618897691,2.640740363546586e-12,0.12024373423656161,8.826459551052126,17.38115872412503
UGCA442,1.26,28.6,1.82,13.14,10.76,0.0,3.88836e+19,225.91729600000002,15.030545432551675,5.8100920696643316e-12,0.17835739082392948,6.121575520364857,37.18830177381889
UGCA442,2.11,41.0,1.74,19.65,13.6,0.0,6.51146e+19,471.2040999999999,21.70723612070408,7.23653527780252e-12,0.19905126641663864,5.540408049893774,51.09464735941477
UGCA442,2.96,49.0,1.91,22.42,13.29,0.0,9.13456e+19,583.903486,24.164094975810702,6.392245340771751e-12,0.18707955183928004,5.860900502029169,58.49957465002615
UGCA442,3.79,54.8,2.05,22.82,12.56,0.0,1.169594e+20,593.3190559999999,24.3581414726165,5.072863369682128e-12,0.1666580077470305,6.514193479824609,62.16908497035235
UGCA442,4.65,56.4,3.12,21.37,12.33,0.0,1.4349900000000002e+20,526.6101940000001,22.947988887917827,3.669783022878208e-12,0.14174893246116166,7.5665353086607885,63.12380396333628
UGCA442,5.48,57.8,2.83,18.73,12.04,0.0,1.691128e+20,417.495236,20.432700164197584,2.4687382386194303e-12,0.11626182212246668,9.110962128320478,61.67481888056275
UGCA442,6.33,56.5,0.65,16.75,10.62,0.0,1.953438e+20,332.44332399999996,18.23302838258088,1.7018370892754207e-12,0.09652917520365926,10.867605104536443,60.10709413098808
UGC05764,0.36,21.45,1.99,2.75,5.37,0.0,1.11096e+19,20.827474000000002,4.563712742932009,1.874727622956722e-12,0.10131382044061923,10.378763070372218,14.702496998820898
